Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
registrasi,Chrome 89.0.4389.128,"test suite dengan data test yang berbeda yang didapat dari Data Files 	user
terdiri dari 5 test case dengan 4 test case negative dan 1 test case positive ketika user memasukkan data email yang sesuai",,2021-04-21 15:13:53,2021-04-21 15:15:21,1m - 27.211s,PASSED
,,,,,,,
Test Cases/registrasi email,Chrome 89.0.4389.128,,,2021-04-21 15:13:57,2021-04-21 15:14:17,20.065s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-21 15:13:58,2021-04-21 15:14:01,2.779s,PASSED
navigateToUrl(url),Chrome 89.0.4389.128,,,2021-04-21 15:14:01,2021-04-21 15:14:03,2.729s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Chrome 89.0.4389.128,,,2021-04-21 15:14:03,2021-04-21 15:14:04,0.568s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Chrome 89.0.4389.128,,,2021-04-21 15:14:04,2021-04-21 15:14:04,0.372s,PASSED
"waitForElementVisible(findTestObject(""registration page/nama_depan""), timeOut)",Chrome 89.0.4389.128,,,2021-04-21 15:14:04,2021-04-21 15:14:05,0.985s,PASSED
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Chrome 89.0.4389.128,,,2021-04-21 15:14:05,2021-04-21 15:14:06,0.683s,PASSED
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Chrome 89.0.4389.128,,,2021-04-21 15:14:06,2021-04-21 15:14:07,0.692s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Chrome 89.0.4389.128,,,2021-04-21 15:14:07,2021-04-21 15:14:08,0.921s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Chrome 89.0.4389.128,,,2021-04-21 15:14:08,2021-04-21 15:14:08,0.886s,PASSED
if (reinput == true),Chrome 89.0.4389.128,,,2021-04-21 15:14:08,2021-04-21 15:14:08,0.002s,PASSED
"setEncryptedText(findTestObject(""registration page/password""), password)",Chrome 89.0.4389.128,,,2021-04-21 15:14:08,2021-04-21 15:14:09,0.882s,PASSED
"selectOptionByValue(findTestObject(""registration page/dropdown_tahun""), tahun, true)",Chrome 89.0.4389.128,,,2021-04-21 15:14:09,2021-04-21 15:14:13,3.502s,PASSED
"click(findTestObject(""registration page/label_perempuan""))",Chrome 89.0.4389.128,,,2021-04-21 15:14:13,2021-04-21 15:14:13,0.485s,PASSED
"click(findTestObject(""registration page/btn_daftar""))",Chrome 89.0.4389.128,,,2021-04-21 15:14:13,2021-04-21 15:14:14,0.547s,PASSED
"text = verifyTextPresent(""Harap masukkan nomor telepon atau alamat email yang valid"", false, OPTIONAL)",Chrome 89.0.4389.128,,,2021-04-21 15:14:14,2021-04-21 15:14:15,1.335s,PASSED
if (text == true),Chrome 89.0.4389.128,,,2021-04-21 15:14:15,2021-04-21 15:14:16,0.730s,PASSED
closeBrowser(),Chrome 89.0.4389.128,,,2021-04-21 15:14:16,2021-04-21 15:14:17,0.681s,PASSED
,,,,,,,
Test Cases/registrasi email,Chrome 89.0.4389.128,,,2021-04-21 15:14:17,2021-04-21 15:14:34,17.245s,PASSED
"openBrowser("""")",Chrome 89.0.4389.128,,,2021-04-21 15:14:17,2021-04-21 15:14:18,1.605s,PASSED
navigateToUrl(url),Chrome 89.0.4389.128,,,2021-04-21 15:14:18,2021-04-21 15:14:24,5.086s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Chrome 89.0.4389.128,,,2021-04-21 15:14:24,2021-04-21 15:14:24,0.461s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Chrome 89.0.4389.128,,,2021-04-21 15:14:24,2021-04-21 15:14:24,0.453s,PASSED
