Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Firefox 88.0,,,2021-04-21 15:16:27,2021-04-21 15:16:28,0.511s,PASSED
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Firefox 88.0,,,2021-04-21 15:16:28,2021-04-21 15:16:28,0.504s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Firefox 88.0,,,2021-04-21 15:16:28,2021-04-21 15:16:29,0.790s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:29,2021-04-21 15:16:30,0.572s,PASSED
if (reinput == true),Firefox 88.0,,,2021-04-21 15:16:30,2021-04-21 15:16:30,0.000s,PASSED
"setEncryptedText(findTestObject(""registration page/password""), password)",Firefox 88.0,,,2021-04-21 15:16:30,2021-04-21 15:16:30,0.333s,PASSED
"selectOptionByValue(findTestObject(""registration page/dropdown_tahun""), tahun, true)",Firefox 88.0,,,2021-04-21 15:16:30,2021-04-21 15:16:32,2.415s,PASSED
"click(findTestObject(""registration page/label_perempuan""))",Firefox 88.0,,,2021-04-21 15:16:32,2021-04-21 15:16:33,0.511s,PASSED
"click(findTestObject(""registration page/btn_daftar""))",Firefox 88.0,,,2021-04-21 15:16:33,2021-04-21 15:16:33,0.515s,PASSED
"text = verifyTextPresent(""Harap masukkan nomor telepon atau alamat email yang valid"", false, OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:33,2021-04-21 15:16:34,0.968s,PASSED
if (text == true),Firefox 88.0,,,2021-04-21 15:16:34,2021-04-21 15:16:35,0.842s,PASSED
closeBrowser(),Firefox 88.0,,,2021-04-21 15:16:35,2021-04-21 15:16:36,0.891s,PASSED
,,,,,,,
Test Cases/registrasi email,Firefox 88.0,,,2021-04-21 15:16:36,2021-04-21 15:16:55,18.611s,PASSED
"openBrowser("""")",Firefox 88.0,,,2021-04-21 15:16:36,2021-04-21 15:16:43,7.103s,PASSED
navigateToUrl(url),Firefox 88.0,,,2021-04-21 15:16:43,2021-04-21 15:16:45,1.619s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Firefox 88.0,,,2021-04-21 15:16:45,2021-04-21 15:16:45,0.300s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Firefox 88.0,,,2021-04-21 15:16:45,2021-04-21 15:16:46,0.498s,PASSED
"waitForElementVisible(findTestObject(""registration page/nama_depan""), timeOut)",Firefox 88.0,,,2021-04-21 15:16:46,2021-04-21 15:16:46,0.758s,PASSED
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Firefox 88.0,,,2021-04-21 15:16:46,2021-04-21 15:16:47,0.511s,PASSED
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Firefox 88.0,,,2021-04-21 15:16:47,2021-04-21 15:16:48,0.548s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Firefox 88.0,,,2021-04-21 15:16:48,2021-04-21 15:16:48,0.755s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:48,2021-04-21 15:16:49,0.539s,PASSED
if (reinput == true),Firefox 88.0,,,2021-04-21 15:16:49,2021-04-21 15:16:49,0.001s,PASSED
"setEncryptedText(findTestObject(""registration page/password""), password)",Firefox 88.0,,,2021-04-21 15:16:49,2021-04-21 15:16:49,0.303s,PASSED
"selectOptionByValue(findTestObject(""registration page/dropdown_tahun""), tahun, true)",Firefox 88.0,,,2021-04-21 15:16:49,2021-04-21 15:16:51,2.282s,PASSED
"click(findTestObject(""registration page/label_perempuan""))",Firefox 88.0,,,2021-04-21 15:16:51,2021-04-21 15:16:52,0.484s,PASSED
"click(findTestObject(""registration page/btn_daftar""))",Firefox 88.0,,,2021-04-21 15:16:52,2021-04-21 15:16:52,0.545s,PASSED
"text = verifyTextPresent(""Harap masukkan nomor telepon atau alamat email yang valid"", false, OPTIONAL)",Firefox 88.0,,,2021-04-21 15:16:52,2021-04-21 15:16:53,0.956s,PASSED
if (text == true),Firefox 88.0,,,2021-04-21 15:16:53,2021-04-21 15:16:54,0.618s,PASSED
closeBrowser(),Firefox 88.0,,,2021-04-21 15:16:54,2021-04-21 15:16:55,0.777s,PASSED
,,,,,,,
Test Cases/registrasi email,Firefox 88.0,,,2021-04-21 15:16:55,2021-04-21 15:17:16,20.755s,PASSED
"openBrowser("""")",Firefox 88.0,,,2021-04-21 15:16:55,2021-04-21 15:16:59,3.940s,PASSED
navigateToUrl(url),Firefox 88.0,,,2021-04-21 15:16:59,2021-04-21 15:17:00,1.427s,PASSED
"waitForElementClickable(findTestObject(""registration page/btn_buat_akun_baru""), timeOut)",Firefox 88.0,,,2021-04-21 15:17:00,2021-04-21 15:17:01,0.304s,PASSED
"click(findTestObject(""registration page/btn_buat_akun_baru""))",Firefox 88.0,,,2021-04-21 15:17:01,2021-04-21 15:17:01,0.809s,PASSED
"waitForElementVisible(findTestObject(""registration page/nama_depan""), timeOut)",Firefox 88.0,,,2021-04-21 15:17:01,2021-04-21 15:17:02,0.714s,PASSED
"setText(findTestObject(""registration page/nama_depan""), nama_depan)",Firefox 88.0,,,2021-04-21 15:17:02,2021-04-21 15:17:03,0.528s,PASSED
